name,smiles,inchikey,set
20-HETE,O=C(O)CCC/C=C\C/C=C/C/C=C\C/C=C\CCCCCO,NNDIXBJHNLFJJP-MGCLDQAJSA-N,endogenous
glutamic acid,N[C@@H](CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-VKHMYHEASA-N,endogenous
chenodeoxycholic acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,RUDATBOHQWOJDD-BSWAIDMHSA-N,endogenous
estriol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,PROQIPRRNZUXQM-ZXXIGWHRSA-N,endogenous
ACETYLCHOLINE,CC(=O)OCC[N+](C)(C)C,OIPILFWXSMYKGL-UHFFFAOYSA-N,endogenous
CHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O,BHQCQFFYRZLCQQ-OELDTZBJSA-N,endogenous
DINOPROSTONE,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,XEYBRNLFEZDVAW-ARSRFYASSA-N,endogenous
EPINEPHRINE,CNC[C@H](O)c1ccc(O)c(O)c1,UCTWMZQNUQWSLP-VIFPVBQESA-N,endogenous
alitretinoin,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,SHGAZHPCJJPHSC-ZVCIMWCZSA-N,endogenous
LIOTHYRONINE,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,AUYYCJSJGJYCDS-LBPRGKRZSA-N,endogenous
ADENOSINE TRIPHOSPHATE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,endogenous
CITRULLINE,NC(=O)NCCC[C@H](N)C(=O)O,RHGKLRLOHDJJDR-BYPYZUCNSA-N,endogenous
GLYCINE,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,endogenous
phosphatidylserine,CCCC(=O)O[C@H](COC(=O)CC)COP(=O)(O)OC[C@H](N)C(=O)O,UNJJBGNPUUVVFQ-ZJUUUORDSA-N,endogenous
SUCCINIC ACID,O=C(O)CCC(=O)O,KDYFGRWQOYBRFD-UHFFFAOYSA-N,endogenous
SERINE,N[C@@H](CO)C(=O)O,MTCFGRXMJLQNBG-REOHCLBHSA-N,endogenous
NOREPINEPHRINE,NC[C@H](O)c1ccc(O)c(O)c1,SFLSHLFXELFNJZ-QMMMGPOBSA-N,endogenous
Alpha-Linolenic Acid,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,DTOSIQBPPRVQHS-PDBXOOCHSA-N,endogenous
ADENOSINE PHOSPHATE,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,UDMBCSSLTHHNCD-KQYNXXCUSA-N,endogenous
ORNITHINE,NCCC[C@H](N)C(=O)O,AHLPHDHHMVZTML-BYPYZUCNSA-N,endogenous
phenylalanine,N[C@@H](Cc1ccccc1)C(=O)O,COLNVLDHVKWLRT-QMMMGPOBSA-N,endogenous
OLEIC ACID,CCCCCCCC/C=C\CCCCCCCC(=O)O,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,endogenous
cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,HVYWMOMLDIMFJA-DPAQBDIFSA-N,endogenous
HISTAMINE,NCCc1cnc[nH]1,NTYJJOPFIAHURM-UHFFFAOYSA-N,endogenous
LITHOCHOLIC ACID,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,SMEROWZSTRWXGI-HVATVPOCSA-N,endogenous
STANOLONE,C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,NVKAWKQGWWIWPM-ABEVXSGRSA-N,endogenous
DINOPROST,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O,PXGPLTODNUVGFL-YNNPMVKQSA-N,endogenous
desoxycortone,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,ZESRJSPZRDMNHY-YFWFAHHUSA-N,endogenous
SEROTONIN,NCCc1c[nH]c2ccc(O)cc12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,endogenous
LINOLEIC ACID,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,endogenous
BREXANOLONE,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,AURFZBICLPNKBZ-SYBPFIFISA-N,endogenous
SPAGLUMIC ACID,CC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)O,OPVPGKGADVGKTG-BQBZGAKWSA-N,endogenous
EPOPROSTENOL,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@@H]2O/C(=C\CCCC(=O)O)C[C@@H]21,KAQKFAOMNZTLHT-OZUDYXHBSA-N,endogenous
Oxogluric acid,O=C(O)CCC(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,endogenous
N-oleoylethanolamide,CCCCCCCC/C=C\CCCCCCCC(=O)NCCO,BOWVQLFMWHZBEF-KTKRTIGZSA-N,endogenous
"24(S),25-EPOXYCHOLESTEROL",C[C@H](CC[C@@H]1OC1(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,OSENKJZWYQXHBN-XVYZBDJZSA-N,endogenous
PHENETHYLAMINE,NCCc1ccccc1,BHHGXPLMPWCGHP-UHFFFAOYSA-N,endogenous
UDP-alpha-D-glucuronic acid,O=C(O)[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,HDYANYHVCAPMJV-LXQIFKJMSA-N,endogenous
MALEIC ACID,O=C(O)/C=C\C(=O)O,VZCYOOQTPOCHFL-UPHRSURJSA-N,endogenous
ADP,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,XTWYTFMLZFPYCI-KQYNXXCUSA-N,endogenous
resolvin E1,CC[C@@H](O)/C=C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O,AOPOCGPBAIARAV-OTBJXLELSA-N,endogenous
LIPOXIN A4,CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)O,IXAQOQZEOGMIQS-SSQFXEBMSA-N,endogenous
12S-HPETE,CCCCC/C=C\C[C@@H](/C=C/C=C\C/C=C\CCCC(=O)O)OO,ZIOZYRSDNLNNNJ-LQWMCKPYSA-N,endogenous
12S-HETE,CCCCC/C=C\C[C@H](O)/C=C/C=C\C/C=C\CCCC(=O)O,ZNHVWPKMFKADKW-LQWMCKPYSA-N,endogenous
12R-HETE,CCCCC/C=C\C[C@@H](O)/C=C/C=C\C/C=C\CCCC(=O)O,ZNHVWPKMFKADKW-ZYBDYUKJSA-N,endogenous
24(S)-hydroxycholesterol,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,IOWMKBFJCNLRTC-XWXSNNQWSA-N,endogenous
27-hydroxycholesterol,C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,FYHRJWMENCALJY-YSQMORBQSA-N,endogenous
"7¦Á,25-OHC",C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,BQMSKLCEWBSPPY-IKVTXIKFSA-N,endogenous
DIHYDROSPINGOSINE,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)CO,OTKJDMGTUTTYMP-ZWKOTPCHSA-N,endogenous
SPHINGOSINE,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,WWUZIQQURGPMPG-KRWOKUGFSA-N,endogenous
NaHS,[Na]S,HYHCSLBZRBJJCH-UHFFFAOYSA-M,endogenous
15(R)-Lipoxin A4,CCCCC[C@@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)O,IXAQOQZEOGMIQS-JEWNPAEBSA-N,endogenous
SEA,CCCCCCCCCCCCCCCCCC(=O)NCCO,OTGQIQQTPXJQRG-UHFFFAOYSA-N,endogenous
12(S)-HHTrE,CCCCC[C@H](O)/C=C/C=C/C/C=C\CCCC(=O)O,KUKJHGXXZWHSBG-WBGSEQOASA-N,endogenous
Leukotriene B4,CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O,VNYSSYRCGWBHLG-AMOLWHMGSA-N,endogenous
"15-deoxy-.DELTA.12,14-Prostaglandin J2",CCCCC/C=C/C=C1/C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,VHRUMKCAEVRUBK-GODQJPCRSA-N,endogenous
PGJ<sub>2</sub>,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C=C[C@@H]1C/C=C\CCCC(=O)O,UQOQENZZLBSFKO-POPPZSFYSA-N,endogenous
PROSTAGLANDIN A2,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1C/C=C\CCCC(=O)O,MYHXHCUNDDAEOZ-FOSBLDSVSA-N,endogenous
sphingosine 1-phosphate,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)COP(=O)(O)O,DUYSYHSSBDVJSM-KRWOKUGFSA-N,endogenous
4-hydroxynonenal,CCCCCC(O)/C=C/C=O,JVJFIQYAHPMBBX-FNORWQNLSA-N,endogenous
LEUKOTRIEN E4,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](N)C(=O)O)[C@@H](O)CCCC(=O)O,OTZRAYGBFWZKMX-FRFVZSDQSA-N,endogenous
Leukotriene C4,CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O,GWNVDXQDILPJIG-NXOLIXFESA-N,endogenous
20-hydroxy Leukotriene B4,O=C(O)CCC[C@H](O)/C=C\C=C\C=C\[C@H](O)C/C=C\CCCCCO,PTJFJXLGRSTECQ-PSPARDEHSA-N,endogenous
12-epi Leukotriene B4,CCCCC/C=C\C[C@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O,VNYSSYRCGWBHLG-CBBLYLIKSA-N,endogenous
PROSTAGLANDIN F1ALPHA,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1CCCCCCC(=O)O,DZUXGQBLFALXCR-CDIPTNKSSA-N,endogenous
17(R)-Resolvin D1,CC/C=C\C[C@@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)C/C=C\CCC(=O)O,OIWTWACQMDFHJG-BJEBZIPWSA-N,endogenous
4-oxo-nonenal,CCCCCC(=O)/C=C/C=O,SEPPVOUBHWNCAW-FNORWQNLSA-N,endogenous
2'3'-cGAMP,Nc1nc(=O)c2ncn([C@@H]3O[C@@H]4COP(=O)(O)O[C@@H]5[C@@H](COP(=O)(O)O[C@@H]3[C@@H]4O)O[C@@H](n3cnc4c(N)ncnc43)[C@@H]5O)c2[nH]1,XRILCFTWUCUKJR-INFSMZHSSA-N,endogenous
THDOC,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C(=O)CO)CC[C@@H]12,CYKYBWRSLLXBOW-GDYGHMJCSA-N,endogenous
geranylgeranyl diphosphate,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O,OINNEUNVOZHBOX-QIRCYJPOSA-N,endogenous
DOCONEXENT,CC/C=C\C/C=C\C/C=C/C/C=C\C/C=C\C/C=C\CCC(=O)O,MBMBGCFOFBJSGT-MRQLBRKVSA-N,endogenous
5-OXO-ETE,CCCCC/C=C\C/C=C\C/C=C/C=C/C(=O)CCCC(=O)O,MEASLHGILYBXFO-UHDLZKNXSA-N,endogenous
dihydrosphingosine 1-phosphate,CCCCCCCCCCCCCCC[C@@H](O)[C@@H](N)COP(=O)(O)O,YHEDRJPUIRMZMP-ZWKOTPCHSA-N,endogenous
2-ARACHIDONOYLGLYCEROL,CCCCC/C=C\C/C=C\C/C=C/C/C=C\CCCC(=O)OC(CO)CO,RCRCTBLIHCHWDZ-AVHBIOJASA-N,endogenous
2-arachidonoylglycerolphosphoinositol,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)OC(CO)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,OKEQUIXTUXJQNT-DOFZRALJSA-N,endogenous
8S-HETE,CCCCC/C=C\C/C=C/C=C/[C@@H](O)C/C=C\CCCC(=O)O,NLUNAYAEIJYXRB-CJCAVVIYSA-N,endogenous
5S-HETE,CCCCC/C=C\C/C=C\C/C=C/C=C/[C@@H](O)CCCC(=O)O,KGIJOOYOSFUGPC-YVKFKYPISA-N,endogenous
5S-HPETE,CCCCC/C=C\C/C=C/C/C=C\C=C\[C@H](CCCC(=O)O)OO,JNUUNUQHXIOFDA-XXCDMITDSA-N,endogenous
heme,C=Cc1c(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)c(CCC(=O)O)c4C)c(C)c3C=C.[Fe+2],KABFMIBPWCXCRK-UHFFFAOYSA-L,endogenous
dioleoylphosphatidic acid,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COP(=O)(O)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,MHUWZNTUIIFHAS-CLFAGFIQSA-N,endogenous
pristanic acid,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@H](C)C(=O)O,PAHGJZDQXIOYTH-KURKYZTESA-N,endogenous
cyclic GMP,Nc1nc2c(ncn2[C@@H]2O[C@@H]3COP(=O)(O)O[C@H]3[C@H]2O)c(=O)[nH]1,ZOOGRGPOEVQQDX-UUOKFMHZSA-N,endogenous
PGD<sub>3</sub>,CCC=CC[C@H](O)C=C[C@H]1C(=O)C[C@H](O)[C@@H]1CC=CCCCC(=O)O,ANOICLBSJIMQTA-MLHJIOFPSA-N,endogenous
lysophosphatidylinositol,CC(=O)OC[C@H](O)COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,FBDBXJJQMHPGMP-IFUOQLDVSA-N,endogenous
cADPR,N=c1c2ncn3c2ncn1[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H]3[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,BQOHYSXSASDCEA-KEOHHSTQSA-N,endogenous
7?-hydroxy Cholesterol,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,OYXZMSRRJOYLLO-RVOWOUOISA-N,endogenous
resolvin D1,CC/C=C\C[C@H](O)/C=C/C=C\C=C\C=C\[C@H](O)[C@@H](O)C/C=C\CCC(=O)O,OIWTWACQMDFHJG-LDOXQWQISA-N,endogenous
guanosine-5'-triphosphate,Nc1nc(=O)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]3O)c2[nH]1,XKMLYUALXHKNFT-UUOKFMHZSA-N,endogenous
"5,6-epoxyeicosatrienoic acid",CCCCC/C=C\C/C=C\C/C=C\CC1OC1CCCC(=O)O,VBQNSZQZRAGRIX-QNEBEIHSSA-N,endogenous
farnesyl monophosphate,CC(C)=CCC/C(C)=C\CC/C(C)=C\COP(=O)(O)O,ALEWCKXBHSDCCT-FBXUGWQNSA-N,endogenous
Galactose-uridine-5'-diphosphate,O=c1ccn([C@@H]2O[C@H](CO[P@@](=O)(O)O[P@@](=O)(O)O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,HSCJRCZFDFQWRP-ABVWGUQPSA-N,endogenous
5-oxo-ODE,CCCCCCCCC/C=C\C=C\C(=O)CCCC(=O)O,YVWMHFYOIJMUMN-HSINTONASA-N,endogenous
Dehydrolithocholic Acid,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,KIQFUORWRVZTHT-OPTMKGCMSA-N,endogenous
PD047439,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC1[C@H](O)[C@@H](OP(=O)(O)O)C(O)[C@@H](OP(=O)(O)O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC,UZMPYXSDDZXMAI-OHKKONBVSA-N,endogenous
resolvin D2,CC/C=C\C[C@H](O)C(O)/C=C/C=C/C=C\C=C\[C@H](O)C/C=C\CCC(=O)O,IKFAUGXNBOBQDM-GIINMYNKSA-N,endogenous
5-oxo-15-HETE,CCCCC[C@H](O)/C=C/C=C\C/C=C\C=C\C(=O)CCCC(=O)O,RIUDRKHGFDAKPO-WWWYWCMOSA-N,endogenous
Tiglic acid,C/C=C(\C)C(=O)O,UIERETOOQGIECD-ONEGZZNKSA-N,endogenous
NOREPINEPHRINE,NCC(O)c1ccc(O)c(O)c1,SFLSHLFXELFNJZ-UHFFFAOYSA-N,endogenous
"7?,27-dihydroxy Cholesterol",C[C@@H](CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3O,RXMHNAKZMGJANZ-BMOLSTJGSA-N,endogenous
LPA,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COP(=O)(O)O,WRGQSWVCFNIUNZ-KTKRTIGZSA-N,endogenous
2-oleoyl-LPA,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)COP(=O)(O)O,ZOOLJLSXNRZLDH-KTKRTIGZSA-N,endogenous
